MemberID,QR
1001,teIY
1002,r2on
1003,f9D7
1004,lSHY
1005,97P
1006,9Fqz
1007,3OsO
1008,xT26
1009,2EMA
1010,Le2
1011,48c
1012,nVgp
1013,BoEk
1014,shJs
1015,m029
1016,vhpA
1017,tvKM
1018,wqBP
1019,nBgz
1020,xoE1
1021,5sLR
1022,87tP
1023,qIpt
1024,1Ztp
1025,EuQ
1026,stnu
1027,9niR
1028,uCsW
1029,cX2i
1030,gsrE
1031,wApW
1032,fDBt
1033,zbFE
1034,6ph4
1035,wPNr
1036,l3jR
1037,qXwB
1038,trRj
1039,HP2
1040,FApc
1041,dX6j
1042,zz7z
1043,lFfl
1044,3zMe
1045,E5ai
1046,vO9a
1047,vX1a
1048,f7wQ
1049,fbfJ
1050,9gZf
1051,hYP8
1052,oxad
1053,kp0g
1054,FmK7
1055,8typ
1056,yL9H
1057,8174
1058,iHcS
1059,rIpo
1060,uEiR
1061,y8KM
1062,4lvB
1063,7sfW
1064,v2XJ
1065,Dz98
1066,tDbD
1067,bL2n
1068,lsRk
1069,uky1
1070,B8Vp
1071,ABTs
1072,8jP3
1073,fKlu
1074,lhTo
1075,2yqP
1076,AVL8
1077,uXxP
1078,gJ6b
1079,tu74
1080,h7SE
1081,vioo
1082,glqv
1083,9Psy
1084,qmsc
1085,orHv
1086,9DnN
1087,fg0l
1088,DM4S
1089,1N0
1090,vSmr
1091,xKi1
1092,e55Z
1093,7AQH
1094,lK47
1095,iOGF
1096,iGyi
1097,ad0
1098,8W7y
1099,8HCz
1100,83nQ
1101,Ez5u
1102,wums
1103,oeO4
1104,gwZ1
1105,2vuJ
1106,fYyz
1107,oHiI
1108,cHzF
1109,7kHl
1110,7HrE
1111,iOmk
1112,tikY
1113,jcMj
1114,m88g
1115,y7ga
1116,ErGs
1117,nfk0
1118,mz9I
1119,r2n5
1120,CnF
1121,erMO
1122,ekQO
1123,woXh
1124,fBk5
1125,d0ul
1126,zVu2
1127,q8KY
1128,BPK8
1129,5KLB
1130,9EsA
1131,46sf
1132,rGWV
1133,cSo2
1134,cy06
1135,CfS8
1136,AXEo
1137,iCs7
1138,h2Dp
1139,AKpM
1140,42Ng
1141,8Owh
1142,m1Sl
1143,dg76
1144,24Hy
1145,3Lv7
1146,nzSY
1147,FFmL
1148,lSsV
1149,vJtD
1150,Ehhu
1151,tb99
1152,2bQj
1153,lEPf
1154,cDD2
1155,c8IV
1156,aa6r
1157,CMaA
1158,8we4
1159,EHeX
1160,j4bV
1161,mGx4
1162,AWnR
1163,BIi6
1164,bXyl
1165,rfxd
1166,xQMR
1167,9SKi
1168,3cut
1169,D2NL
1170,Fh8j
1171,BJtB
1172,ctQO
1173,qcH4
1174,5FVL
1175,A0Bb
1176,hj0P
1177,m6P5
1178,AYkN
1179,t1At
1180,zxxY
1181,2u7n
1182,z9Wv
1183,rKjQ
1184,8lWC
1185,iItE
1186,g8kb
1187,cNOw
1188,hcXR
1189,EdCy
1190,6Ay
1191,Dkxp
1192,EPfz
1193,3bxE
1194,E4x8
1195,qfec
1196,CHLD
1197,wy9R
1198,sjgm
1199,AIvR
1200,8PVm
1201,D6NA
1202,hsj8
1203,8lYJ
1204,avoz
1205,vJiz
1206,5Yj3
1207,r8lw
1208,CdOh
1209,hGHl
1210,s6zz
1211,rOAK
1212,27Wh
1213,u1Dz
1214,vC2E
1215,1nrs
1216,2Amb
1217,j1Ma
1218,v3XV
1219,bepz
1220,7U5H
1221,nRVw
1222,dKjr
1223,hWpt
1224,sqiF
1225,cGwd
1226,tnek
1227,hIb
1228,tB27
1229,EVZv
1230,x7yv
1231,9SM2
1232,Adcj
1233,g6XA
1234,Bl1Y
1235,nEKe
1236,uAS8
1237,6gOO
1238,zPHa
1239,itky
1240,FNw3
1241,iUoG
1242,jlZX
1243,x926
1244,wloi
1245,Agq8
1246,vDrX
1247,62Z4
1248,pTon
1249,o0AG
1250,2eKB
1251,8ffJ
1252,m1Nw
1253,gsfp
1254,1QXd
1255,7XJe
1256,zfhV
1257,zC16
1258,pe74
1259,3gnX
1260,ahcx
1261,FJiW
1262,Bb6v
1263,3mfx
1264,qd1P
1265,x6XZ
1266,Ccij
1267,xbwi
1268,mByt
1269,xJLi
1270,30rH
1271,rxB6
1272,zIn2
1273,wXQR
1274,cN6B
1275,o2di
1276,rDq0
1277,56KX
1278,BeeR
1279,9KaL
1280,vMD3
1281,lxd6
1282,2T9j
1283,4sIH
1284,5GcX
1285,eDHp
1286,2zF0
1287,doqd
1288,ux9c
1289,ENSk
1290,hLYK
1291,4BjD
1292,jSvZ
1293,rUAo
1294,xGRa
1295,taip
1296,9QjL
1297,6aOS
1298,dxYF
1299,1KxA
1300,q5dJ
1301,cJ7g
1302,FxOJ
1303,F5LW
1304,e4cq
1305,abLe
1306,5yV9
1307,kcAG
1308,DvZP
1309,iZ68
1310,6TZ6
1311,qSrl
1312,jXPF
1313,AjKE
1314,gcmi
